,pair,residuals,beta
63,"('AMGN', 'MPWR')","0       38.193579
1       41.260726
2       33.550955
3       32.427925
4       32.827169
          ...    
2511     2.173507
2512   -19.071666
2513     7.888076
2514   -63.457332
2515   -36.079025
Length: 2516, dtype: float64","const   -411.779922
AMGN       3.668196
dtype: float64"
64,"('AMGN', 'MSFT')","0        5.659918
1        7.781954
2        2.742718
3        1.708299
4        2.208349
          ...    
2511    28.907357
2512    17.621281
2513    18.760574
2514   -19.239951
2515     0.711179
Length: 2516, dtype: float64","const   -205.049883
AMGN       2.071342
dtype: float64"
65,"('AMGN', 'PARA')","0      -3.345770
1      -3.548423
2      -2.822043
3      -2.940518
4      -2.097173
          ...   
2511   -2.814524
2512   -2.241714
2513   -2.020288
2514    1.836429
2515   -0.086596
Length: 2516, dtype: float64","const    73.493215
AMGN     -0.209511
dtype: float64"
66,"('AMGN', 'ROL')","0      -3.716898
1      -3.471108
2      -4.062021
3      -4.087013
4      -4.032213
          ...   
2511    3.549411
2512    3.025708
2513    2.426418
2514   -0.702855
2515    1.294964
Length: 2516, dtype: float64","const   -9.785573
AMGN     0.195278
dtype: float64"
67,"('AMGN', 'SNPS')","0       30.532685
1       33.246462
2       26.689567
3       25.833347
4       26.157320
          ...    
2511    38.748073
2512    23.999337
2513    27.215498
2514   -20.087548
2515     6.068438
Length: 2516, dtype: float64","const   -300.763026
AMGN       2.759074
dtype: float64"
68,"('AMGN', 'SRE')","0       0.421036
1       0.533374
2       0.884779
3      -0.401843
4      -0.578683
          ...   
2511    5.361918
2512    4.251655
2513    3.058170
2514   -0.266974
2515    1.352037
Length: 2516, dtype: float64","const    13.843850
AMGN      0.223265
dtype: float64"
69,"('AMGN', 'WBA')","0      -7.218497
1      -7.300020
2      -6.491930
3      -4.457789
4      -4.151941
          ...   
2511   -7.483352
2512   -7.171721
2513   -7.005565
2514   -2.246168
2515   -4.484363
Length: 2516, dtype: float64","const    86.564839
AMGN     -0.241053
dtype: float64"
70,"('AMGN', 'WM')","0       -4.703418
1       -3.747667
2       -5.745837
3       -6.204886
4       -6.135011
          ...    
2511    27.847734
2512    28.396003
2513    26.689409
2514    13.460904
2515    20.770263
Length: 2516, dtype: float64","const   -48.478325
AMGN      0.843986
dtype: float64"
71,"('AMP', 'JNPR')","0      -2.669526
1      -2.884972
2      -2.957924
3      -2.827428
4      -2.590624
          ...   
2511   -4.167379
2512   -4.178308
2513   -3.046897
2514   -2.736881
2515   -3.005115
Length: 2516, dtype: float64","const    16.468209
AMP       0.041518
dtype: float64"
72,"('AMP', 'PANW')","0      -6.302712
1      -6.370340
2      -6.258098
3      -5.731259
4      -5.924603
          ...   
2511   -8.483818
2512   -7.736050
2513   -6.470648
2514   -4.121864
2515   -3.660977
Length: 2516, dtype: float64","const   -14.145605
AMP       0.381054
dtype: float64"
73,"('AMP', 'TRV')","0      -16.581397
1      -17.694827
2      -17.502965
3      -16.524923
4      -16.674794
          ...    
2511    -5.129354
2512    -3.582202
2513    -3.535893
2514    -2.241045
2515    -3.012840
Length: 2516, dtype: float64","const    65.084431
AMP       0.340888
dtype: float64"
74,"('AMP', 'VMC')","0      -38.363794
1      -37.464693
2      -36.502032
3      -36.304828
4      -35.457017
          ...    
2511   -16.056862
2512   -16.426060
2513   -14.793670
2514   -13.747469
2515   -13.738053
Length: 2516, dtype: float64","const    61.995973
AMP       0.419999
dtype: float64"
75,"('ANET', 'UHS')","0      -10.820111
1      -12.118496
2      -10.114066
3       -9.982747
4      -11.912310
          ...    
2511   -18.468107
2512   -13.129601
2513   -11.900563
2514   -13.980350
2515   -18.932139
Length: 2516, dtype: float64","const    108.526705
ANET       0.854824
dtype: float64"
76,"('ANSS', 'ZTS')","0       -1.571573
1       -2.175833
2       -2.208862
3       -0.264981
4       -0.602859
          ...    
2511   -15.142094
2512   -12.093026
2513   -11.890232
2514    -8.487252
2515    -8.828314
Length: 2516, dtype: float64","const   -3.252273
ANSS     0.540070
dtype: float64"
77,"('AON', 'KO')","0      -0.953556
1      -1.138032
2      -0.458694
3      -0.690210
4      -0.908973
          ...   
2511   -2.245516
2512   -2.871601
2513   -3.866845
2514   -4.019235
2515   -4.041744
Length: 2516, dtype: float64","const    20.415687
AON       0.122188
dtype: float64"
78,"('AON', 'LOW')","0        9.416967
1        8.477165
2        8.123738
3        6.592109
4        6.788363
          ...    
2511     2.082483
2512    -4.428869
2513    -5.587043
2514    -7.955132
2515   -10.338497
Length: 2516, dtype: float64","const   -13.430222
AON       0.731858
dtype: float64"
79,"('AON', 'MCD')","0      -23.632679
1      -24.767901
2      -24.819445
3      -25.964164
4      -25.732980
          ...    
2511   -21.080999
2512   -22.787674
2513   -25.010068
2514   -29.661737
2515   -26.598042
Length: 2516, dtype: float64","const    30.601725
AON       0.752870
dtype: float64"
80,"('AON', 'PARA')","0      -2.666096
1      -2.623505
2      -2.242616
3      -2.220954
4      -1.309897
          ...   
2511   -0.836302
2512   -0.452466
2513    0.076769
2514    0.645003
2515    0.739878
Length: 2516, dtype: float64","const    60.474272
AON      -0.131487
dtype: float64"
81,"('AON', 'PAYX')","0      -2.004555
1      -2.291523
2      -2.429299
3      -2.870599
4      -2.898505
          ...   
2511    9.091306
2512    8.592621
2513    8.562034
2514    8.162913
2515    6.828348
Length: 2516, dtype: float64","const    6.263331
AON      0.356818
dtype: float64"
82,"('AON', 'SRE')","0       0.963803
1       0.812578
2       1.516513
3       0.061485
4      -0.194173
          ...   
2511    1.373148
2512    0.419148
2513   -1.131022
2514   -1.006590
2515   -1.552726
Length: 2516, dtype: float64","const    25.477464
AON       0.151231
dtype: float64"
83,"('AON', 'UNH')","0      -16.738004
1      -18.035462
2      -18.330132
3      -20.530942
4      -21.572029
          ...    
2511   -54.676928
2512   -55.981453
2513   -63.156211
2514   -77.289625
2515   -92.600934
Length: 2516, dtype: float64","const   -41.678466
AON       1.722791
dtype: float64"
84,"('AOS', 'LYB')","0       5.348065
1       6.297132
2       5.960529
3       5.288267
4       6.733418
          ...   
2511   -5.692486
2512   -4.877591
2513   -1.797044
2514   -3.030510
2515   -2.338931
Length: 2516, dtype: float64","const    25.769762
AOS       0.826489
dtype: float64"
85,"('AOS', 'MGM')","0       1.103047
1       0.768570
2       1.698459
3       1.680063
4       2.052951
          ...   
2511   -3.867815
2512   -4.067404
2513   -2.975244
2514   -3.275208
2515   -2.967497
Length: 2516, dtype: float64","const    4.592271
AOS      0.501568
dtype: float64"
86,"('APA', 'VZ')","0       1.104806
1       0.619054
2       0.573222
3       0.292220
4       0.065553
          ...   
2511   -1.775077
2512   -1.361527
2513   -1.178624
2514   -0.935342
2515   -1.547738
Length: 2516, dtype: float64","const    49.577169
APA      -0.383588
dtype: float64"
87,"('APA', 'ZBH')","0        3.922463
1        2.081357
2        3.615329
3        2.646701
4        3.674732
          ...    
2511   -13.020423
2512   -14.652570
2513   -14.388278
2514   -14.073996
2515   -18.930610
Length: 2516, dtype: float64","const    137.381660
APA       -0.678579
dtype: float64"
88,"('APD', 'KMB')","0      -11.168465
1      -11.675365
2      -11.041731
3      -10.939297
4      -10.663569
          ...    
2511    -9.487945
2512    -9.630259
2513   -10.248744
2514    -9.740657
2515    -9.335577
Length: 2516, dtype: float64","const    65.210352
APD       0.221463
dtype: float64"
89,"('APD', 'SBUX')","0      -9.634359
1      -9.591099
2      -8.727222
3      -8.828473
4      -8.871456
          ...   
2511   -5.310546
2512   -5.658094
2513   -2.511295
2514   -0.119142
2515    0.674828
Length: 2516, dtype: float64","const    14.255688
APD       0.294502
dtype: float64"
90,"('APD', 'TDY')","0      -31.129668
1      -31.951116
2      -32.619938
3      -29.959005
4      -33.056453
          ...    
2511   -31.381775
2512   -40.337016
2513   -28.989611
2514   -23.383248
2515   -18.952973
Length: 2516, dtype: float64","const   -68.780871
APD       1.823935
dtype: float64"
91,"('APH', 'JNPR')","0      -1.191867
1      -1.392411
2      -1.484464
3      -1.337758
4      -1.089309
          ...   
2511   -3.375607
2512   -3.433433
2513   -2.241625
2514   -1.750543
2515   -1.990544
Length: 2516, dtype: float64","const    15.481396
APH       0.321478
dtype: float64"
92,"('APH', 'MPWR')","0        -0.970152
1        -0.936038
2        -2.368273
3        -1.385276
4        -2.233585
           ...    
2511   -229.954544
2512   -229.231920
2513   -195.936792
2514   -195.675827
2515   -200.565842
Length: 2516, dtype: float64","const   -131.386137
APH       14.110069
dtype: float64"
93,"('APH', 'PGR')","0       -1.923027
1       -1.739499
2       -2.453376
3       -2.125315
4       -2.214026
          ...    
2511     3.182814
2512     8.161430
2513     8.793628
2514    10.512941
2515    12.347948
Length: 2516, dtype: float64","const   -24.702457
APH       3.785810
dtype: float64"
94,"('APH', 'PKG')","0      -2.075124
1      -2.124110
2      -1.654208
3      -1.327715
4      -0.268322
          ...   
2511   -8.710002
2512   -8.256608
2513   -7.757661
2514   -7.519848
2515   -7.159847
Length: 2516, dtype: float64","const    24.750691
APH       2.777894
dtype: float64"
95,"('APH', 'URI')","0       47.359879
1       49.302292
2       46.689254
3       46.250234
4       46.428096
          ...    
2511   -22.453668
2512   -33.921268
2513   -13.433988
2514   -26.330832
2515   -19.795797
Length: 2516, dtype: float64","const   -118.438069
APH       12.700646
dtype: float64"
96,"('APH', 'VMC')","0      -22.368312
1      -21.314884
2      -20.558869
3      -20.194967
4      -19.235780
          ...    
2511   -10.661261
2512   -11.463412
2513    -9.194276
2514    -6.304453
2515    -6.009439
Length: 2516, dtype: float64","const    50.180686
APH       3.314928
dtype: float64"
